ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;37;P1;63;242;44;128;10;10;65;11369;16324
Résidentiel collectif;agglo;37;P2;372;8706;815;6505;3678;3587;1312;509441;623877
Résidentiel collectif;agglo;37;P3;334;8081;693;6324;4133;3950;1002;481811;596572
Résidentiel collectif;agglo;37;P4;99;2196;192;1818;1113;1077;174;122658;151722
Résidentiel collectif;agglo;37;P5;19;289;17;166;113;96;12;16923;21386
Résidentiel collectif;agglo;37;P6;11;101;18;80;70;70;3;6018;8762
Résidentiel collectif;agglo;38;P0;641;2888;638;1364;101;101;824;163988;232674
Résidentiel collectif;agglo;38;P1;298;1710;301;786;191;191;602;92318;130288
Résidentiel collectif;agglo;38;P2;962;16314;1980;9673;7072;7065;4493;996727;1214694
Résidentiel collectif;agglo;38;P3;673;11357;1079;4658;3680;3314;5344;718765;894583
Résidentiel collectif;agglo;38;P4;84;1056;104;763;659;650;150;69929;84926
Résidentiel collectif;agglo;38;P5;11;122;3;100;83;83;18;7548;9768
Résidentiel collectif;agglo;38;P6;7;149;16;112;113;113;19;9920;12626
Résidentiel collectif;agglo;39;P0;247;821;193;343;6;6;255;60034;89764
Résidentiel collectif;agglo;39;P1;79;216;54;63;0;0;95;13910;23348
Résidentiel collectif;agglo;39;P2;489;5035;559;3187;863;863;1212;327060;431284
Résidentiel collectif;agglo;39;P3;357;3164;520;1478;419;419;875;190090;250545
Résidentiel collectif;agglo;39;P4;51;361;39;252;71;71;61;26908;33331
Résidentiel collectif;agglo;39;P5;8;54;2;25;0;0;23;3766;5000
Résidentiel collectif;agglo;39;P6;6;18;1;9;0;0;8;1779;2101
Résidentiel collectif;agglo;40;P0;102;328;78;144;0;0;94;21988;27447
Résidentiel collectif;agglo;40;P1;55;167;30;53;0;0;79;10368;13993
Résidentiel collectif;agglo;40;P2;127;776;125;438;248;50;190;51138;62658
Résidentiel collectif;agglo;40;P3;55;686;80;311;189;178;268;35526;43386
Résidentiel collectif;agglo;40;P4;12;274;23;127;45;45;116;15482;20074
Résidentiel collectif;agglo;40;P5;13;98;19;47;0;0;31;4959;7281
Résidentiel collectif;agglo;40;P6;2;10;0;10;0;0;0;801;1072
Résidentiel collectif;agglo;41;P0;59;218;54;104;0;0;53;11295;15643
Résidentiel collectif;agglo;41;P1;5;14;3;10;0;0;1;990;1354
Résidentiel collectif;agglo;41;P2;67;1182;162;977;1014;1014;33;74722;91316
Résidentiel collectif;agglo;41;P3;166;3046;396;2145;2092;2092;368;204287;261002
Résidentiel collectif;agglo;41;P4;30;549;56;426;376;376;59;36895;47832
Résidentiel collectif;agglo;41;P5;2;32;2;30;32;32;0;2449;2759
Résidentiel collectif;agglo;42;P0;923;3634;954;1741;123;123;860;227394;325946
Résidentiel collectif;agglo;42;P1;268;1239;322;652;319;319;237;71898;100727
Résidentiel collectif;agglo;42;P2;189;2620;342;1203;576;546;1017;175266;220811
Résidentiel collectif;agglo;42;P3;166;2087;264;944;480;480;819;147256;186013
Résidentiel collectif;agglo;42;P4;22;229;29;168;132;132;24;14333;18669
Résidentiel collectif;agglo;42;P5;4;63;5;44;10;10;14;3757;5094
Résidentiel collectif;agglo;42;P6;6;48;7;39;30;30;1;3474;4932
Résidentiel collectif;agglo;43;P0;59;222;72;98;3;3;41;11380;16955
Résidentiel collectif;agglo;43;P1;25;90;21;41;0;0;25;5844;8777
Résidentiel collectif;agglo;43;P2;96;780;93;493;381;381;186;51030;66490
Résidentiel collectif;agglo;43;P3;188;1481;201;922;645;635;317;99800;132399
Résidentiel collectif;agglo;43;P4;7;55;15;30;29;29;10;3318;4787
Résidentiel collectif;agglo;43;P5;4;32;2;26;10;10;3;2045;2734
Résidentiel collectif;agglo;43;P6;2;14;1;13;11;11;0;1040;1353
Résidentiel collectif;agglo;44;P0;341;1776;307;912;8;8;501;82139;106681
Résidentiel collectif;agglo;44;P1;422;1854;222;878;136;136;657;90837;117912
Résidentiel collectif;agglo;44;P2;1770;21156;2077;12806;8497;8497;6013;1260430;1600168
Résidentiel collectif;agglo;44;P3;497;10290;862;5490;3657;3657;3769;607634;771274
Résidentiel collectif;agglo;44;P4;265;6288;415;3890;2513;2454;1807;350671;449331
Résidentiel collectif;agglo;44;P5;82;1625;98;1114;457;413;394;94320;121529
Résidentiel collectif;agglo;44;P6;53;1326;74;1055;558;558;145;69359;92270
Résidentiel collectif;agglo;45;P0;157;666;165;334;22;22;155;32848;44677
Résidentiel collectif;agglo;45;P1;45;190;38;113;33;33;36;8815;13263
Résidentiel collectif;agglo;45;P2;220;4178;542;2697;2064;1910;901;261039;329711
Résidentiel collectif;agglo;45;P3;215;5329;532;4300;4146;4139;469;339635;413533
Résidentiel collectif;agglo;45;P4;80;1207;97;1029;970;970;71;78479;95432
Résidentiel collectif;agglo;45;P5;9;193;15;165;149;149;13;11586;16256
Résidentiel collectif;agglo;45;P6;8;204;16;188;200;200;0;12678;15551
Résidentiel collectif;agglo;46;P0;27;103;33;46;13;13;20;5646;8258
Résidentiel collectif;agglo;46;P1;10;26;10;8;0;0;8;1525;2224
Résidentiel collectif;agglo;46;P2;36;450;51;319;227;227;78;28443;34521
Résidentiel collectif;agglo;46;P3;65;510;138;167;73;73;183;27085;39291
Résidentiel collectif;agglo;46;P4;37;300;36;243;243;243;17;16361;22153
Résidentiel collectif;agglo;46;P5;2;58;5;48;25;25;5;3899;5203
Résidentiel collectif;agglo;46;P6;1;12;1;11;12;12;0;724;782
Résidentiel collectif;agglo;47;P0;60;226;63;133;0;0;25;12322;16648
Résidentiel collectif;agglo;47;P1;23;62;10;44;0;0;7;3931;5683
